ticker,company_name,category,headline,modality,significance,statement,evidence_quote,evidence_valid,evidence_failure_reason,source_section,accession_number,source_document_url,review_bucket,human_label,review_notes
APLD,Applied Digital Corporation,partnership_or_mna,CoreWeave leases 250 MW at Polaris Forge 1,current_fact,5,"APLD signed leases with CoreWeave for 250 MW of HPC capacity at Polaris Forge 1, with construction underway.","APLD ELN-02 LLC and APLD ELN-03 LLC... entered into a data center lease... with CoreWeave, Inc. to deliver an aggregate of 250 MW of infrastructure",False,quote_not_found,item_7_mdna,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,evidence_failed,,
BA,Boeing Company,partnership_or_mna,Spirit AeroSystems acquisition closed December 2025,current_fact,5,"Boeing completed the acquisition of Spirit AeroSystems in December 2025, integrating vertical supply chain capabilities.","On December 8, 2025, we completed our acquisition of Spirit AeroSystems Holdings, Inc. (Spirit) pursuant to the Agreement and Plan of Merger dated June 30, 2024.",False,quote_not_found,item_7_mdna,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,evidence_failed,,
BA,Boeing Company,pricing_and_margin,Long-term contract losses reduced operating earnings by $1.4B,current_fact,5,"Net cumulative catch-up adjustments decreased 2025 operating earnings by $1,377 million due to losses on KC-46A, T-7A, and others.","Net cumulative catch-up adjustments for changes in estimated revenues and costs at completion across all long-term contracts... decreased Earnings from operations by $1,377 million in 2025.",False,quote_not_found,item_7_mdna,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,evidence_failed,,
CEG,Constellation Energy Corporation,demand_and_revenue,20-year PPA with Microsoft for Crane Clean Energy Center restart,current_fact,5,"Executed a 20-year PPA with Microsoft to restart Three Mile Island Unit 1, providing 835 MW of emissions-free capacity for data centers.","In September 2024, we executed a 20-year PPA with Microsoft that will support the restart of Three Mile Island Unit 1... which includes energy, capacity and emissions-free attributes.",False,quote_not_found,item_1_business,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,evidence_failed,,
EQIX,Equinix Inc.,capacity_and_supply,Power constraints and permitting delays hinder expansion,current_fact,5,"Equinix faces limited water/power availability, grid constraints, and permitting delays in most metros, risking stranded capital and construction delays.",We are currently experiencing permitting delays in most metros... We expect that we will continue to experience limited availability of water and power and grid constraints in many markets,False,quote_not_found,item_1a_risk_factors,0001101239-26-000032,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm,evidence_failed,,
GEV,GE Vernova Inc.,demand_and_revenue,Robust demand for grid equipment driven by AI and renewables interconnection,current_fact,5,"Demand remains strong for large-scale transmission equipment to interconnect renewables and electrify industries including data centers for AI, with lead times increasing as demand outstrips supply.","Demand remains strong for large scale transmission-related equipment to interconnect renewables and move bulk power. We also continue to benefit from higher growth in orders from other transmission activities to connect new power sources, to electrify industries including data centers playing a key role in the development of artificial intelligence (AI)",False,quote_not_found,item_1_business,0001996810-26-000015,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/gev-20251231.htm,evidence_failed,,
META,Meta Platforms Inc.,demand_and_revenue,Family of Apps revenue grew 22% to $198.8B in 2025,historical_fact,5,"Family of Apps revenue increased 22% year-over-year to $198.76 billion in 2025, driven by advertising growth.","Family of Apps Revenue $198,759 million in 2025, up 22% from $162,355 million in 2024.",False,quote_not_found,item_7_mdna,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,evidence_failed,,
NOC,Northrop Grumman Corporation,demand_and_revenue,Significant new awards drive 2025 revenue pipeline,current_fact,5,"The company secured $46.3 billion in net awards in 2025, including major contracts for F-35, GEM 63, and Virginia Class submarines.",2025 net awards totaled $46.3 billion. Significant 2025 new awards include $14.8 billion for restricted programs... $3.3 billion for F-35... $2.5 billion for GEM 63.,False,quote_not_found,item_7_mdna,0001133421-26-000003,https://www.sec.gov/Archives/edgar/data/1133421/000113342126000003/noc-20251231.htm,evidence_failed,,
TXN,Texas Instruments Inc.,technology_and_product,300mm transition yields 40% cost advantage,current_fact,5,Unpackaged chips on 300mm wafers cost approximately 40% less than those on 200mm wafers.,"We have focused on creating a competitive manufacturing structural cost advantage by investing in our 300mm capacity, as an unpackaged chip built on a 300mm wafer costs about 40% less.",False,quote_not_found,item_1_business,0000097476-26-000059,https://www.sec.gov/Archives/edgar/data/97476/000009747626000059/txn-20251231.htm,evidence_failed,,
ADI,Analog Devices Inc.,customer_concentration,Distributor concentration risk at 56% of revenue,current_fact,4,"Independent distributors accounted for 56% of revenue in FY2025, creating exposure to distributor inventory adjustments.","Sales to third-party distributors accounted for approximately 56% of our revenue in the year ended November 1, 2025. These independent distributors... could reduce their sales efforts for our products.",False,quote_not_found,item_1a_risk_factors,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,evidence_failed,,
ADI,Analog Devices Inc.,customer_concentration,Top distributor accounts for 24% of total revenue,current_fact,4,"Distributor 1 represented 24% of total revenue in FY2025 and FY2024, indicating significant single-customer reliance.","Revenue attributable to significant distributors... Year Ended November 1, 2025: Distributor 1 24%",False,quote_not_found,item_7_mdna,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,evidence_failed,,
AMAT,Applied Materials Inc.,regulatory_or_geopolitical,U.S. export controls on China limit market and increase competition,current_fact,4,"Expanded U.S. export license requirements for China, including for military end uses and integrated circuits, have limited the market for certain products and increased exposure to foreign and Chinese domestic competition.","The U.S. Department of Commerce expanded export license requirements... which have limited the market for certain of our products and services, adversely impacted our revenues and increased our exposure to foreign and Chinese domestic competition.",False,quote_not_found,item_1a_risk_factors,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,evidence_failed,,
AMZN,Amazon.com Inc.,technology_and_product,Technology and infrastructure expenses grew 23% year-over-year,historical_fact,4,"Technology and infrastructure costs increased to $108.5 billion in 2025 from $88.5 billion in 2024, reflecting significant investment in infrastructure.","Technology and infrastructure... $88,544 [2024]... $108,521 [2025]... Year-over-year Percentage Growth... 23",False,quote_not_found,item_7_mdna,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,evidence_failed,,
ARM,Arm Holdings plc,customer_concentration,Top five customers account for over half of total revenue,current_fact,4,"Top five customers, including Arm China and SoftBank Group, collectively accounted for 57% of total revenue in fiscal 2026.","Top five customers collectively accounted for approximately 57% of our total revenue for the fiscal years ended March 31, 2026.",False,quote_not_found,item_5_operating_review,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,evidence_failed,,
ARM,Arm Holdings plc,regulatory_or_geopolitical,PRC revenue exposure faces trade and national security risks,risk_hypothetical,4,"Revenues from the PRC accounted for 18% of total revenue in fiscal 2026, with growth prospects unclear due to policy uncertainty.",Revenues from the PRC accounted for approximately 18% of our total revenue... near-term growth prospects... are unclear due to the uncertain effects of trade and national security policies.,False,quote_not_found,item_5_operating_review,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,evidence_failed,,
ARM,Arm Holdings plc,capacity_and_supply,Production silicon introduces foundry dependency and capital intensity,risk_hypothetical,4,"Entry into production silicon exposes Arm to third-party foundry risks, including limited control over capacity, yields, and costs.","Our entry into production silicon exposes us to... dependence on third-party foundry partners... with limited control over their production capacity, costs, yields, or delivery schedules.",False,quote_not_found,item_5_operating_review,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,evidence_failed,,
ASML,ASML Holding N.V.,partnership_or_mna,ASML Invests €1.3 Billion in Mistral AI,historical_fact,4,"ASML recorded a €1.3 billion investment in Mistral in 2025, reflecting strategic alignment with AI technology development.","Net cash used in investing activities increased by €1,168.5 million compared to 2024, primarily due to the €1,302.2 million investment in Mistral in 2025.",False,quote_not_found,full_filing,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,evidence_failed,,
ASML,ASML Holding N.V.,capacity_and_supply,EUV System Sales Increased to 48 Units in 2025,forward_looking,4,"ASML shipped 48 EUV systems in 2025, up from 44 in 2024, with expectations for significantly higher EUV revenue in 2026 driven by advanced node ramps.","EUV systems recognized (in units) 48... We anticipate our EUV revenue to be significantly higher, driven by advanced node ramps.",False,quote_not_found,full_filing,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,evidence_failed,,
