ticker,company_name,primary_industry,strategic_domains,value_chain_roles,business_summary,products_services,end_markets,strategic_importance,strategic_importance_rationale,evidence_valid,evidence_failure_reasons,evidence_quotes,accession_number,source_document_url,human_label,review_notes
AAOI,Applied Optoelectronics Inc.,telecommunications_and_networks,cloud_infrastructure | telecom_infrastructure,manufacturer | component_supplier,"Applied Optoelectronics Inc. is a vertically integrated provider of fiber-optic networking products, designing and manufacturing optical communications solutions ranging from laser components to complete turn-key equipment. The company targets four primary end-markets: internet data centers, CATV, telecom, and FTTH, driven by increasing bandwidth demand.",lasers and laser components | optical modules | complete turn-key equipment | fiber-optic networking products | optical communications solutions | components and subassemblies,internet data centers | CATV | telecom | FTTH,2,"The company provides critical optical networking components and solutions that replace legacy copper-based technologies to support high-bandwidth demands in internet data centers and telecom networks, including 5G infrastructure.",True,,"We are a leading, vertically integrated provider of fiber-optic networking products. We target four networking end-markets: internet data centers, CATV, telecom and FTTH. | The four end markets we target are all driven by significant bandwidth demand fueled by the growth of network-connected devices, video traffic, cloud computing and online social networking. | Increasingly, optical networking technologies are being incorporated into networking equipment, replacing legacy copper-based networking technologies. This shift to optical networking solutions benefits us as a provider of those solutions. | In the telecom market, we benefit from deployment of new high-speed fiber-optic networks by telecom network operators, including 5G networks.",0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,,
AAPL,Apple Inc.,technology_hardware,consumer_platform,manufacturer | platform_provider | software_or_service_provider,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories, while also selling related services such as advertising, cloud storage, and digital content. The company operates globally through direct and indirect distribution channels, serving consumer, business, education, and government markets.",iPhone smartphones | Mac personal computers | iPad tablets | Apple Watch smartwatches | AirPods wireless headphones | Apple Vision Pro spatial computer | App Store digital content platform | Apple Pay payment services,consumer | small and mid-sized business | education | enterprise | government,1,"The company holds a minority market share in global smartphone, PC, tablet, and wearables markets and faces intense competition with aggressive pricing, indicating it is a significant but not bottleneck-controlled player in these consumer hardware segments.",True,,"The Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. | The Company’s customers are primarily in the consumer, small and mid-sized business, education, enterprise and government markets. | The Company has a minority market share in the global smartphone, personal computer, tablet and wearables markets... | The Company operates various platforms, including the App Store, that allow customers to discover and download applications and digital content...",0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,,
ADI,Analog Devices Inc.,semiconductors,ai_compute | industrial_automation | healthcare_infrastructure | semiconductor_supply_chain,component_supplier | manufacturer,"Analog Devices Inc. is a global supplier of high-performance analog, mixed-signal, and power management integrated circuits (ICs). The company designs and manufactures these components to support the Intelligent Edge, incorporating AI capabilities to enhance performance in various electronic systems.",analog ICs | mixed-signal ICs | power management ICs | RF and microwave components | edge processors | sensors | voltage regulation and power control systems | application-specific solutions,digitized factories | mobility | digital healthcare | portable devices | prosumer audio/video equipment | hearable devices,3,"The company is a critical supplier of high-performance analog and mixed-signal ICs that form the foundation of electronic systems across key sectors like industrial automation and healthcare, while also integrating AI capabilities to drive smarter solutions at the Intelligent Edge.",True,,"we are one of the world’s largest suppliers of high-performance analog ICs | We are positioned to capitalize on critical long-term growth trends to drive advancements in digitized factories, mobility and digital healthcare | We incorporate AI capabilities across our technologies, business operations, products and services to enhance performance | Our analog ICs also provide voltage regulation and power control to electronic systems",0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
AEP,American Electric Power Company Inc.,energy_and_utilities,grid_and_power | energy_transition | energy_security,infrastructure_operator | manufacturer,"American Electric Power Company Inc. is a regulated electric utility that generates, transmits, and distributes electricity to retail and wholesale customers across multiple U.S. states. The company operates through vertically integrated utilities, transmission and distribution utilities, and a generation and marketing segment.",Electricity generation | Electricity transmission | Electricity distribution | Retail energy supply | Wholesale trading and marketing | Ancillary services | Capacity sales | Natural gas supply,Residential customers | Commercial customers | Industrial customers | Data centers | Cryptocurrency operations | Other electric utility companies,4,"AEP operates critical transmission infrastructure in major RTOs and is executing substantial capital investments to meet electricity demand growth from new data centers and large-load customers, creating bottleneck potential in grid expansion.",False,quote_not_found | quote_not_found,"AEP’s primary business is the generation, transmission and distribution of electricity. | Meeting the significant increase in electricity demand from new data centers and other large‑load customers will require substantial investment in new generation and transmission facilities. | Data Processing (a) Primarily includes data centers and cryptocurrency operations. | The retail energy supply business, AEP Energy, provides electricity and/or natural gas to residential, commercial and industrial customers.",0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,,
ALAB,Astera Labs Inc.,semiconductors,ai_compute | cloud_infrastructure,component_supplier,"Astera Labs Inc. is a semiconductor company that provides Intelligent Connectivity Platform solutions, including PCIe, Ethernet, CXL, and UALink connectivity products, to support cloud and AI infrastructure. The company designs and sells these solutions to hyperscaler customers to address data, network, and memory bottlenecks in AI workloads.","Intelligent Connectivity Platform solutions | Aries PCIe/CXL Smart DSP Retimers | Aries PCIe/CXL Smart Cable Modules | COSMOS software suite | ICs, boards, and modules | Engineering services",cloud data center infrastructure | AI markets | data intensive end-markets,3,"The company provides essential connectivity solutions that address critical bottlenecks in cloud and AI infrastructure, making its products integral to the performance of hyperscaler systems.",False,quote_not_found,"purpose-built connectivity solutions that connect GPUs and other AI accelerators... to solve critical data, network, and memory bottlenecks. | Our solutions are intended to address infrastructure needs for our hyperscaler customers, specifically to support their cloud and AI infrastructure needs. | increase our value-per-product and leverage our differentiated product families to grow with our customers into new data intensive end-markets | Product sales consist primarily of shipments of our Intelligent Connectivity Platform solutions.",0001736297-26-000010,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,,
AMAT,Applied Materials Inc.,semiconductors,semiconductor_supply_chain | ai_compute | industrial_automation,equipment_provider | software_or_service_provider,"Applied Materials Inc. provides capital equipment, services, and software to the semiconductor and related industries, including manufacturing equipment for the display industry. Its products address materials engineering, process control, and advanced packaging steps to help customers manufacture semiconductor wafers and chips.",co-optimized and integrated materials solutions | patterning systems and technologies | transistor and interconnect products | process control systems | advanced packaging systems | factory automation software | spares | services,semiconductor wafers and chips | personal computing devices | mobile phones | artificial intelligence and data center servers | automobiles | display industry,4,"The company is a critical equipment provider for the semiconductor supply chain, with its products enabling advanced packaging for AI computing and serving leading-edge technology nodes essential for modern electronics.",True,,"We provide equipment, services and software to the semiconductor and related industries. Our customers include manufacturers of semiconductor wafers and chips | the importance of advanced packaging to AI computing. | Our products address steps across materials engineering, process control and advanced packaging... Our Semiconductor Systems sales are to customers that serve the following markets: foundry, logic and other; dynamic random access memory (DRAM); and flash memory (NAND). | Leading-edge represents customers that are producing on the most advanced technology nodes, defined as 7 nanometers and smaller.",0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,,
AMD,Advanced Micro Devices Inc.,semiconductors,ai_compute | cloud_infrastructure | semiconductor_supply_chain,component_supplier | manufacturer,"Advanced Micro Devices Inc. designs and manufactures semiconductors, including CPUs, GPUs, and AI accelerators, for data centers, client computing, and embedded markets. The company provides full-stack hardware and software solutions to accelerate workloads such as generative AI, cloud infrastructure, and personal computing.",AI accelerators | CPUs for servers | GPUs | APUs | DPUs | AI NICs | FPGAs | adaptive SoC products,Data Center | Client and Gaming | Embedded | Cloud Service Providers | Enterprise | High Performance Computing,4,"The company is a primary supplier of AI accelerators experiencing significant demand for generative AI, with a major strategic partnership to deploy 6 gigawatts of capacity for OpenAI, indicating critical bottleneck potential in AI infrastructure buildouts.",True,,"In October 2025, we entered into a product purchase agreement with OpenAI... to deploy 6 gigawatts of AMD GPUs | since 2024, we have experienced significant demand for our AI accelerators | the Data Center segment, which primarily includes Artificial Intelligence (AI) accelerators, microprocessors (CPUs) for servers, graphics processing units (GPUs) | AMD Pensando™ DPUs and comprehensive networking software stack offload data center infrastructure services from the host CPU",0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,,
AMZN,Amazon.com Inc.,diversified_or_other,cloud_infrastructure | logistics | ai_compute | consumer_platform | data_and_analytics,platform_provider | infrastructure_operator | software_or_service_provider | distributor_or_channel,"Amazon.com Inc. operates as a diversified technology and retail company serving consumers, sellers, developers, and enterprises through its North America, International, and AWS segments. The company provides e-commerce, cloud computing, electronic devices, digital content, and logistics services globally.","Web and infrastructure computing services (AWS) | Online and physical retail stores | Electronic devices (Kindle, Fire, Echo, Ring) | Digital content and streaming | Advertising services | Logistics and fulfillment networks | Subscription services (Amazon Prime) | Artificial intelligence and machine learning technologies",Consumers | Sellers | Developers | Enterprises | Content creators | Advertisers,5,The company operates critical global infrastructure for cloud computing and logistics while driving adoption of artificial intelligence and machine learning technologies across multiple sectors.,True,,"We have organized our operations into three segments: North America, International, and Amazon Web Services (“AWS”). | We serve developers and enterprises of all sizes... through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, artificial intelligence and machine learning, and other services. | We also manufacture and sell electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero, and we develop and produce media content. | Infrastructure costs include servers, networking equipment, and data center related depreciation and amortization, rent, utilities, and other expenses necessary to support AWS and other Amazon businesses.",0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
ANET,Arista Networks Inc.,technology_hardware,ai_compute | cloud_infrastructure | telecom_infrastructure,equipment_provider | software_or_service_provider,"Arista Networks Inc. provides cloud and AI networking solutions, including switches and software, to hyperscalers, enterprises, and service providers. The company competes in data center, campus networking, and AI infrastructure markets against established vendors and white box alternatives.",AI Ethernet products | data center networking solutions | campus networking solutions | network visibility and security | cloud networking solutions | network switches | software and subscription solutions | network-as-a-service offerings,public cloud titans | AI Neocloud providers | enterprises | service providers | broader enterprise markets | hyperscalers,3,"The company is a key provider of networking infrastructure for AI and cloud data centers, facing intense competition from major tech firms and specialized AI interconnect vendors like Nvidia.",True,,"Arista established itself as a market leader with platforms, products, and people to enable some of these hyperscalers’ most consequential networks. | successful adoption of AI Ethernet products will be dependent upon their ability to compete against more established InfiniBand products | Ethernet, faces competition from both InfiniBand (""IB"") and NVLink interconnects for back-end AI networking clusters. | The markets in which we compete, including the markets for data center, campus networking, network visibility and security and AI, are intensely competitive",0001596532-26-000013,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,,
APH,Amphenol Corporation,technology_hardware,semiconductor_supply_chain | cloud_infrastructure | telecom_infrastructure | industrial_automation | ai_compute,component_supplier | manufacturer,"Amphenol Corporation is one of the world’s largest designers, manufacturers and marketers of electrical, electronic and fiber optic connectors, interconnect systems, antennas, sensors, and cable products. The company operates through three segments serving diverse end markets including automotive, industrial, and information technology.",connectors and interconnect systems | fiber optic products | high-speed interconnect products | radio frequency interconnect products | antennas | sensors and sensor-based products | coaxial and specialty cable | printed circuit assemblies,automotive | industrial | information technology and data communications | communications networks | commercial aerospace | defense,3,"The company supplies critical interconnect and sensor components to high-growth markets like AI and data communications, but its strategic importance is moderated by the fact that these are component-level inputs rather than bottleneck infrastructure or exclusive platforms.",True,,"Amphenol Corporation is one of the world’s largest designers, manufacturers and marketers of electrical, electronic and fiber optic connectors and interconnect systems | some of our customers are making significant investments in AI, and these investments are driving robust demand for certain of the Company’s products | Communications Solutions segment designs, manufactures and markets a broad range of connector and interconnect systems... for use in the information technology and data communications... end markets | Sensors and Sensor-based Products: force, gas and moisture, level, position, pressure, temperature, vibration",0001104659-26-013549,https://www.sec.gov/Archives/edgar/data/820313/000110465926013549/aph-20251231x10k.htm,,
