ticker,company_name,issue_type,severity,detail,signal_category,signal_headline,chunk_id,accession_number,source_document_url,human_disposition,review_notes
AAOI,Applied Optoelectronics Inc.,current_fact_contains_risk_language,warning,"In 2025, Digicomm represented 53.1% of our revenue and Microsoft represented 28.8% of our revenue. As a result, the loss of, or a significant reduction in orders from any of our key customers would materially and adversely affect our revenu",customer_concentration,Extreme customer concentration with Digicomm and Microsoft,AAOI_000143774926005875_document_item_1a_risk_factors_18,0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,,
AAOI,Applied Optoelectronics Inc.,signal_evidence_unverified,warning,quote_not_found:dependency on limited suppliers for critical components,supplier_or_infrastructure_dependency,Dependency on limited suppliers for critical components,AAOI_000143774926005875_document_item_1a_risk_factors_65,0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,,
AAOI,Applied Optoelectronics Inc.,current_fact_contains_risk_language,warning,Some of the raw materials and components we use in our products are available only from a sole source or have been qualified only from a single supplier. Our inability to obtain sufficient quantities of critical materials or components coul,supplier_or_infrastructure_dependency,Dependency on limited suppliers for critical components,AAOI_000143774926005875_document_item_1a_risk_factors_65,0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,,
ADI,Analog Devices Inc.,signal_evidence_unverified,error,quote_not_found:distributor concentration risk at 56 of revenue,customer_concentration,Distributor concentration risk at 56% of revenue,ADI_000000628125000153_document_item_1a_risk_factors_6,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
ADI,Analog Devices Inc.,current_fact_contains_risk_language,warning,"Sales to third-party distributors accounted for approximately 56% of our revenue in the year ended November 1, 2025. These independent distributors... could reduce their sales efforts for our products.",customer_concentration,Distributor concentration risk at 56% of revenue,ADI_000000628125000153_document_item_1a_risk_factors_6,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
ADI,Analog Devices Inc.,signal_evidence_unverified,error,quote_not_found:top distributor accounts for 24 of total revenue,customer_concentration,Top distributor accounts for 24% of total revenue,ADI_000000628125000153_document_item_7_mdna_98,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
ADI,Analog Devices Inc.,signal_evidence_unverified,warning,quote_not_found:industrial end market share declined to 45,demand_and_revenue,Industrial end-market share declined to 45%,ADI_000000628125000153_document_item_1_business_15,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
ADI,Analog Devices Inc.,signal_evidence_unverified,warning,quote_not_found:8 1b senior notes outstanding with 3b revolver,liquidity_and_balance_sheet,$8.1B senior notes outstanding with $3B revolver,ADI_000000628125000153_document_item_7_mdna_18,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,,
AEP,American Electric Power Company Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,,
AEP,American Electric Power Company Inc.,high_importance_profile_unverified,error,4,,,,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,,
AEP,American Electric Power Company Inc.,signal_evidence_unverified,warning,quote_not_found:significant long term debt issuance to fund operations,liquidity_and_balance_sheet,Significant long-term debt issuance to fund operations,AEP_000000490426000013_document_item_7_mdna_85,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,,
ALAB,Astera Labs Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001736297-26-000010,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,,
ALAB,Astera Labs Inc.,signal_evidence_unverified,warning,quote_not_found:acquired aixscale photonics for 31 1 million,partnership_or_mna,Acquired aiXscale Photonics for $31.1 million,ALAB_000173629726000010_document_item_7_mdna_60,0001736297-26-000010,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,,
AMAT,Applied Materials Inc.,signal_evidence_unverified,error,quote_not_found:u s export controls on china limit market and increase competition,regulatory_or_geopolitical,U.S. export controls on China limit market and increase competition,AMAT_000162828025056742_document_item_1a_risk_factors_5,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,,
AMAT,Applied Materials Inc.,signal_evidence_unverified,warning,quote_not_found:new 2 billion revolving credit facility secured,liquidity_and_balance_sheet,New $2 billion revolving credit facility secured,AMAT_000162828025056742_document_item_7_mdna_121,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,,
AMAT,Applied Materials Inc.,current_fact_contains_risk_language,warning,"In September 2025, we entered into a $2.0 billion 364-day committed revolving credit agreement... The 364-Day Credit Agreement includes a provision under which we may request an increase in the amount of the facility of up to $1.0 billion..",liquidity_and_balance_sheet,New $2 billion revolving credit facility secured,AMAT_000162828025056742_document_item_7_mdna_121,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,,
AMAT,Applied Materials Inc.,signal_evidence_unverified,warning,quote_not_found:government incentives reduce tax payable and pp e,capital_allocation,Government incentives reduce tax payable and PP&E,AMAT_000162828025056742_document_item_7_mdna_121,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,,
AMZN,Amazon.com Inc.,current_fact_contains_risk_language,warning,China-based sellers account for significant portions of our third-party seller services and advertising revenues... regulatory and trade restrictions... could adversely affect our operating results.,customer_concentration,China-based sellers drive significant third-party revenue,AMZN_000101872426000004_document_item_1a_risk_factors_7,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
AMZN,Amazon.com Inc.,signal_evidence_unverified,warning,quote_not_found:china operations depend on third party contractual relationships,regulatory_or_geopolitical,China operations depend on third-party contractual relationships,AMZN_000101872426000004_document_item_1a_risk_factors_5,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
AMZN,Amazon.com Inc.,signal_evidence_unverified,error,quote_not_found:technology and infrastructure expenses grew 23 year over year,technology_and_product,Technology and infrastructure expenses grew 23% year-over-year,AMZN_000101872426000004_document_item_7_mdna_19,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
AMZN,Amazon.com Inc.,current_fact_contains_risk_language,warning,"China-based suppliers provide significant portions of our components and finished goods, regulatory and trade restrictions... could adversely affect our operating results.",supplier_or_infrastructure_dependency,China-based suppliers provide significant components and goods,AMZN_000101872426000004_document_item_1a_risk_factors_7,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
APLD,Applied Digital Corporation,accounting_identity_mismatch,warning,relative_mismatch=0.0727,,,,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,,
